doc_id,title,content,keyword_relevant,cluster_id,cluster_label
0,Doc 01: Hundreds of people have been forced to vacate,"Hundreds of people have been forced to vacate their homes in the Southern Highlands of New South Wales as strong winds today pushed a huge bushfire towards the town of Hill Top. A new blaze near Goulburn, south-west of Sydney, has forced the closure of the Hume Highway. At about 4:00pm AEDT, a marked deterioration in the weather as a storm cell moved east across the Blue Mountains forced authorities to make a decision to evacuate people from homes in outlying streets at Hill Top in the New South Wales southern highlands. An estimated 500 residents have left their homes for nearby Mittagong. The New South Wales Rural Fire Service says the weather conditions which caused the fire to burn in a finger formation have now eased and about 60 fire units in and around Hill Top are optimistic of defending all properties. As more than 100 blazes burn on New Year's Eve in New South Wales, fire crews have been called to new fire at Gunning, south of Goulburn. While few details are available at this stage, fire authorities says it has closed the Hume Highway in both directions. Meanwhile, a new fire in Sydney's west is no longer threatening properties in the Cranebrook area. Rain has fallen in some parts of the Illawarra, Sydney, the Hunter Valley and the north coast. But the Bureau of Meteorology's Claire Richards says the rain has done little to ease any of the hundred fires still burning across the state. ""The falls have been quite isolated in those areas and generally the falls have been less than about five millimetres,"" she said. ""In some places really not significant at all, less than a millimetre, so there hasn't been much relief as far as rain is concerned. ""In fact, they've probably hampered the efforts of the firefighters more because of the wind gusts that are associated with those thunderstorms.""",False,4,"south, new, australia, wales"
1,Doc 02: Indian security forces have shot dead eight suspected,"Indian security forces have shot dead eight suspected militants in a night-long encounter in southern Kashmir. The shootout took place at Dora village some 50 kilometers south of the Kashmiri summer capital Srinagar. The deaths came as Pakistani police arrested more than two dozen militants from extremist groups accused of staging an attack on India's parliament. India has accused Pakistan-based Lashkar-e-Taiba and Jaish-e-Mohammad of carrying out the attack on December 13 at the behest of Pakistani military intelligence. Military tensions have soared since the raid, with both sides massing troops along their border and trading tit-for-tat diplomatic sanctions. Yesterday, Pakistan announced it had arrested Lashkar-e-Taiba chief Hafiz Mohammed Saeed. Police in Karachi say it is likely more raids will be launched against the two groups as well as other militant organisations accused of targetting India. Military tensions between India and Pakistan have escalated to a level not seen since their 1971 war.",True,0,"man, flight, reid, says"
2,Doc 03: The national road toll for the Christmas-New Year,"The national road toll for the Christmas-New Year holiday period stands at 45, eight fewer than for the same time last year. 20 people have died on New South Wales roads, with eight fatalities in both Queensland and Victoria. Western Australia, the Northern Territory and South Australia have each recorded three deaths, while the ACT and Tasmania remain fatality free.",False,4,"south, new, australia, wales"
3,Doc 04: Argentina's political and economic crisis has deepened with,"Argentina's political and economic crisis has deepened with the resignation of its interim President who took office just a week ago. Aldolfo Rodregiuez Saa told a stunned nation that he could not rescue Argentina because key fellow Peronists would not support his default on massive foreign debt repayment or his plan for a new currency. It was only a week ago that he was promising a million new jobs to end four years of recession, days after his predecessor resigned following a series of failed rescue packages. After announcing that the senate leader, Ramon Puerta, would assume the presidency until congress appoints a new caretaker president, the government said he too had quit and another senior lawmaker would act in the role. Fresh elections are not scheduled until March leaving whoever assumes the presidency with the daunting task of tackling Argentina's worst crisis in 12 years, but this time, isolated by international lending agencies.",False,1,"said, pakistan, palestinian, says"
4,"Doc 05: Six midwives have been suspended at Wollongong Hospital,","Six midwives have been suspended at Wollongong Hospital, south of Sydney, for inappropriate use of nitrous oxide during work hours, on some occasions while women were in labour. The Illawarra Area Health Service says that following an investigation of unprofessional conduct, a further four midwives have been relocated to other areas within the hospital. The service's chief executive officer, Tony Sherbon, says no one was put at risk, because other staff not involved in the use of nitrous oxide were able to take over caring for women in labour. ""Well we're very concerned and the body of midwives to the hospital - there are over 70 midwives that work in our service - are very annoyed and angry at the inappropriate behaviour of these very senior people who should know better,"" he said. ""And that's why we've take the action of suspending them and we'll consider further action next week.""",False,4,"south, new, australia, wales"
5,Doc 06: The Federal Government says it should be safe,"The Federal Government says it should be safe for Afghani asylum seekers in Australia to return home when the environment becomes secure. The Government has suspended their applications while the interim government is established in Kabul. The Foreign Affairs Minister Alexander Downer has refused to say for how long the claims process has been put on hold. But he says the major threat to most people seeking asylum is no longer there. ""Many Afghans who have tried to get into Australia or for that matter into Britain and other countries in north-west Europe have claimed that they are fleeing the Taliban,"" he said. ""Well, the Taliban is no longer in power in Afghanistan, the Taliban is finished."" Meanwhile, there has been a mass airlift of detainees from Christmas Island to the Pacific Island of Nauru. In total, more than 300 people have been flown from the island in two operations using chartered aircraft. The second airlift today delivered 180 asylum seekers to Nauru where they will await processing of their claims for temporary visas. The Department of Immigration says there are now 211 detainees remaining on Christmas Island. A spokesman says a decision regarding their future is yet to be made.",False,0,"man, flight, reid, says"
6,Doc 07: The United States team of Monica Seles and,"The United States team of Monica Seles and Jan-Michael Gambill scored a decisive victory over unseeded France in their first Hopman Cup match at Burswood Dome in Perth. The pair, runners-up in the $1 million dollar mixed teams event last year, both won their singles encounters to give the US an unbeatable 2-0 lead. The 28-year-old Seles, currently ranked eighth, recovered from a shaky start to overpower Virginie Razzano, 18, who is ranked 72nd. Seles had to fight hard to get home in straight sets, winning 6-3, 6-4 in 62 minutes. Then the 24-year-old Gambill (ranked 21st) wore down a determined Arnaud Clement, 24, (18th) to win 6-4, 6-4 in 91 minutes. The Americans are aiming to go one better than last year when they were beaten by Swiss pair Martina Hingis and Roger Federer in the final of the eight-nation contest. Gambill said the win was a great way to start the tennis year. ""I got a little tentative at the end, but it was a great start to my year,"" he said. ""Arnaud is a great scrapper and I am delighted to beat him, even though I am frankly a bit out of shape. ""That is one of the reasons I am here. I will be in shape by the end of the tournament. ""I just aim to keep improving in the new year, and if I do, I think I have a chance to beat anyone when I am playing well."" Gambill was pressed hard by Clement before taking the first set in 47 minutes. But the American gained the ascendancy in the second set, breaking in the third and fifth games. Seles said she had expected her clash with Razzano to be tough. ""She was a top junior player in the world, so it was no surprise that she fought so well,"" she said. Seles said she still had the hunger to strive to regain her position at the top of her sport. ""This is why you play,"" she said. ""But I want to try not to peak too early this season. ""Seles, slow into her stride, slipped to 2-3 in her opening set against Razzano but recovered quickly, claiming the set after snatching four games in a row. In the second set, Seles broke her opponent in the opening game and completed victory with relative ease despite Razzano's tenacious efforts.",False,0,"man, flight, reid, says"
7,Doc 08: Hundreds of canoeists are enjoying hard-earned New Years,"Hundreds of canoeists are enjoying hard-earned New Years Eve celebrations following five days paddling in the Murray River Marathon. After more than 400 exhausting kilometres battling hot and dusty conditions, a Melbourne team took out the strongly contested K-one Cup this afternoon. Two hundred and thirty canoes left Yarrawonga last Thursday, with just over 200 paddling across the finishing line at Swan Hill. The others fell victim to the gruelling conditions. The event raised about $170,000 for the Red Cross.",False,2,"sydney, yacht, line, race"
8,Doc 09: There has been welcome relief for firefighters in,"There has been welcome relief for firefighters in New South Wales overnight with milder weather allowing them to strengthen containment lines around the most severe fires. But fire authorities are not getting overly optimistic as dry and hot weather is forecast to continue. The weather bureau is forecasting temperatures in the high 30s and westerly winds until at least Friday, which means fire authorities are reluctant to get too excited about last night's favourable conditions. Marks Sullivan from the Rural Fire Service says fire fighters are remaining on guard. ""A lot of fires that have been burning in the areas around Sydney and the north coast and further south have been burning within areas that are known and are contained,"" he said. ""However, that's not to say that these fires won't pose a threat given the weather conditions that are coming up over the next few days."" Despite the caution, the Rural Fire Service says most of the state's fires that threaten property are burning within containment lines. Greater Sydney is ringed by fires to the north, west and south. Two of those flared overnight. One at Appin in the southern highlands was quickly brought under control. Another flare-up at Spencer, north of the city, is not contained on its north-western flank, but is not threatening property. In the lower Blue Mountains west of Sydney, firefighters have spent the night setting up a 20 kilometre containment line to protect communities along the Great Western Highway from Glenbrook to Bulaburra. Two fires burning near Cessnock, west of Newcastle, are still within containment lines. In the state's north, aircraft will this morning check if lightning from a large electrical storm overnight has sparked any new fires above Grafton. Aircraft have also been used in the Shoalhaven area in the state's south to drop incendiary devices that start fire control lines in inaccessible areas. The Rural Fire Service Commissioner Phil Koperberg says if fire activity increases hundreds of New Year's Eve fireworks celebrations in New South Wales will be cancelled.",False,4,"south, new, australia, wales"
9,Doc 10: Some roads are closed because of dangerous conditions,"Some roads are closed because of dangerous conditions caused by bushfire smoke. Motorists are being asked to avoid the Hume Highway between Picton Road and the Illawarra Highway, where police have reduced the speed limit from 110 kilometres an hour to 80. In southern Sydney, Picton Road is closed between Wilton and Bulli, Appin Road is closed from Appin to Bulli Tops, and all access roads to Royal National Park are closed. Motorists are also asked to avoid the Illawarra Highway between the Hume Highway and Robertson, and the Great Western Highway between Penrith and Springwood because of reduced visibility. In north-western Sydney only local residents are allowed to use Wisemans Ferry Road and Upper Color Road under police escort.",False,4,"south, new, australia, wales"
10,Doc 11: Work is continuing this morning to restore power,"Work is continuing this morning to restore power supplies to tens of thousands of homes that were blacked out during wild storms that struck south-east Queensland last night. Gale force winds uprooted trees and brought down power lines, damaging homes and cars. Energex and Ergon energy have had every available person working through the night to restore power at 150 locations in and around Brisbane, west to Toowoomba and north to the Sunshine Coast. At Boonah south-west of Brisbane, protective tarpaulins were ripped from homes still undergoing repairs, following severe storms just before Christmas. At Nambour, four people were rescued after high voltage power lines fell across their car trapping them inside. And at Landsborough fierce winds sent a large tree crashing into a house, but no one was injured.",False,4,"south, new, australia, wales"
