title,category,year,rating,ratings_count,tags,source
The Dark Knight,Action,2008,4.7,2900000,hero crime thriller dc,Public movie metadata
Mad Max: Fury Road,Action,2015,4.4,1100000,post-apocalyptic chase desert spectacle,Public movie metadata
Dune: Part Two,Sci-Fi,2024,4.5,650000,space epic prophecy sandworms,Public movie metadata
Interstellar,Sci-Fi,2014,4.6,2300000,space time family nasa,Public movie metadata
Everything Everywhere All at Once,Comedy,2022,4.3,720000,multiverse absurd heartfelt action,Public movie metadata
Barbie,Comedy,2023,4.1,590000,satire fantasy colorful doll,Public movie metadata
Poor Things,Comedy,2023,4.0,310000,surreal period feminist quirky,Public movie metadata
Inside Out 2,Comedy,2024,4.2,240000,animation family emotions sequel,Public movie metadata
Top Gun: Maverick,Adventure,2022,4.3,690000,aviation legacy adrenaline drama,Public movie metadata
Avatar: The Way of Water,Adventure,2022,4.0,830000,ocean spectacle franchise alien,Public movie metadata
Spider-Man: Across the Spider-Verse,Adventure,2023,4.5,480000,animation multiverse superhero vibrant,Public movie metadata
Mission: Impossible - Dead Reckoning,Adventure,2023,4.0,320000,spy stunts chase action,Public movie metadata
Deadpool & Wolverine,Action,2024,4.1,410000,marvel comedy antihero multiverse,Public movie metadata
John Wick: Chapter 4,Action,2023,4.2,540000,assassin stylized gun-fu revenge,Public movie metadata
The Super Mario Bros. Movie,Comedy,2023,3.8,260000,animation family game adaptation,Public movie metadata
Guardians of the Galaxy Vol. 3,Sci-Fi,2023,4.2,430000,marvel found-family space humor,Public movie metadata
Oppenheimer,Drama,2023,4.4,950000,biography history science thriller,Public movie metadata
Parasite,Drama,2019,4.6,1050000,satire class suspense korean,Public movie metadata
The Dark Knight,Action,2008,4.7,2900000,hero crime thriller dc,Public movie metadata
Unknown Indie Film,Drama,2024,,3,festival character study,Classroom placeholder
